25:4157 | fs=22 | Cormorant Gara | Instagram Strategy
I25:4266;25:3532 | fs=14 | Inter | Overseas Social Media & Content Lead
I25:4266;25:3534 | fs=13 | Inter | AUG 2026 – PRESENT · SHENZHEN
I25:4266;25:3537 | fs=15 | Inter | Fully own overseas social media
I25:4266;25:3539 | fs=15 | Inter |  for MuseKey's U.S. entry — social strategy, day-to-day operations and
I25:4266;25:3540 | fs=15 | Inter | content creative, end to end
I25:4266;25:3542 | fs=15 | Inter | Built Instagram from zero:
I25:4266;25:3544 | fs=15 | Inter |  PLAY · CREATE · GROW content pillars, brand visual rules, and a weekly
I25:4266;25:3545 | fs=15 | Inter | calendar tied to product milestones
I25:4266;25:3547 | fs=15 | Inter | Creator marketing 0→1:
I25:4266;25:3549 | fs=15 | Inter |  outreach across parenting, kids' education and creative-toy verticals, first-touch
I25:4266;25:3550 | fs=15 | Inter | framed as "early product trial," working toward the first 30 overseas seed families
I25:4266;25:3552 | fs=15 | Inter | AI production pipeline:
I25:4266;25:3554 | fs=15 | Inter |  Jimeng AI + visual QA — Reels at ¥31–39 per asset, statics under ¥1
I25:4266;25:3556 | fs=15 | Inter | Also support Meta paid social
I25:4266;25:3558 | fs=15 | Inter |  alongside North America GTM: three product-tier campaigns moving from
I25:4266;25:3559 | fs=15 | Inter | lead gen to $1 deposit reservations — $1.40 paid CPL and 30+ Super Early Bird deposits at $32.8 CPD, top / cre
I25:4299;25:3592 | fs=24 | Cormorant Gara | DOME Group
I25:4299;25:3594 | fs=14 | Inter | Marketing Manager
I25:4299;25:3596 | fs=13 | Inter | APR 2025 – MAY 2026 · SHANGHAI
I25:4299;25:3599 | fs=15 | Inter | New brand launch 0→1:
I25:4299;25:3601 | fs=15 | Inter |  positioning, website structure, overseas social channels — 700K+ exposure and
I25:4299;25:3602 | fs=15 | Inter | +35% store foot traffic within 6 months
I25:4299;25:3604 | fs=15 | Inter | Refreshed three mature brands:
I25:4299;25:3606 | fs=15 | Inter |  rewrote value propositions and channel plans; The Fellas IG monthly
I25:4299;25:3607 | fs=15 | Inter | exposure 40K→90K, The Captain 2K–3K→50K–60K
I25:4299;25:3609 | fs=15 | Inter | Creator program:
I25:4299;25:3611 | fs=15 | Inter |  recruited and managed 50+ overseas creators; New Year's Eve campaign returned 1.43x
I25:4299;25:3612 | fs=15 | Inter | direct creator ROI
I25:4299;25:3614 | fs=15 | Inter | Conversion fix:
I25:4299;25:3616 | fs=15 | Inter |  pushed a direct web booking button live, closing the biggest gap between content and
I25:4299;25:3617 | fs=15 | Inter | table
I25:4328;25:3650 | fs=24 | Cormorant Gara | TopJob
I25:4328;25:3652 | fs=14 | Inter | Social Media Specialist (Overseas)
I25:4328;25:3654 | fs=13 | Inter | OCT 2024 – FEB 2025 · SHANGHAI
I25:4328;25:3657 | fs=15 | Inter | North America creator matrix:
I25:4328;25:3659 | fs=15 | Inter |  recruited 50 creators across three tiers, replacing feature-read briefs with
I25:4328;25:3660 | fs=15 | Inter | real-scene directions
I25:4328;25:3662 | fs=15 | Inter | Black Friday campaign:
I25:4328;25:3664 | fs=15 | Inter |  17 creators on a four-week arc — social ads ROI 4.14, creator ROI doubled from
I25:4328;25:3665 | fs=15 | Inter | ~0.6:1 to ~1.3:1 in one quarter
I25:4328;25:3667 | fs=15 | Inter | Content results:
I25:4328;25:3669 | fs=15 | Inter |  published collaborations averaged 2.09% engagement — roughly 4x the home-category
I25:4328;25:3670 | fs=15 | Inter | Instagram benchmark
I25:4328;25:3672 | fs=15 | Inter | On-camera myself
I25:4328;25:3674 | fs=15 | Inter |  for TikTok ad creatives, feeding winning angles back into creator briefs the same week
I25:4356;25:3698 | fs=24 | Cormorant Gara | REL EVENTS · M&M
I25:4356;25:3700 | fs=14 | Inter | Social Media & Marketing Consultant / (Project-Based)
I25:4356;25:3702 | fs=13 | Inter | AUG 2023 – AUG 2024
I25:4356;25:3705 | fs=15 | Inter | Grew REL EVENTS' IG/FB from zero:
I25:4356;25:3707 | fs=15 | Inter |  street-interview video series and trending-topic campaigns —
I25:4356;25:3708 | fs=15 | Inter | engagement +200% and sign-up conversion +20% in 3 months
I25:4356;25:3711 | fs=15 |  | 200K+ social visits and 500+ offline attendees; recruited 20+ overseas creators to promote events and / sell t
I25:4356;25:3714 | fs=15 | Inter | At M&M, ran 3+ brand campaigns end to end; standardized templates and handoffs, cutting execution cost / ~20%
25:4379 | fs=12 | Inter | Selected Work
25:4381 | fs=56 |  | Results, in numbers
I25:4383;25:3746 | fs=14.5 | Inter | MuseKey · Social & Content & Paid Media
I25:4383;25:3748 | fs=24 | Cormorant Gara | 0→1 Social Media & Content Operations for a / Kids' Hardware U.S. Launch
I25:4383;25:3750 | fs=14.5 | Inter | Owned Instagram end-to-end — content pillars, posting system / and creator outreach, with Meta paid experiment
I25:4383;25:3754 | fs=24 | Cormorant Gara | 27K+
I25:4383;25:3755 | fs=10.5 | Inter | 90-Day Views
I25:4383;25:3758 | fs=24 | Cormorant Gara | 300+
I25:4383;25:3759 | fs=10.5 | Inter | Email Leads
I25:4383;25:3762 | fs=24 | Cormorant Gara | $1.40
I25:4383;25:3763 | fs=10.5 | Inter | Paid CPL
I25:4383;25:3766 | fs=24 | Cormorant Gara | $32.8
I25:4383;25:3767 | fs=10.5 | Inter | Cost Per $1 Deposit
I25:4383;25:3770 | fs=24 | Cormorant Gara | 9.85%
I25:4383;25:3771 | fs=10.5 | Inter | Top CTR
I25:4411;25:3796 | fs=14.5 | Inter | TopJob · Creator Marketing
I25:4411;25:3798 | fs=24 | Cormorant Gara | Black Friday Creator Campaign for an / Ergonomic Chair DTC Brand
I25:4411;25:3800 | fs=14.5 | Inter | The full cycle from zero to peak season: recruiting, briefing, / tracking, iterating.
I25:4411;25:3805 | fs=24 | Cormorant Gara | 4.14
I25:4411;25:3806 | fs=10.5 | Inter | Ads ROI
I25:4411;25:3809 | fs=24 | Cormorant Gara | 0.6→1.3
I25:4411;25:3810 | fs=10.5 | Inter | Creator ROI
I25:4411;25:3813 | fs=24 | Cormorant Gara | 2.09%
I25:4411;25:3814 | fs=10.5 | Inter | Avg. Engagement
I25:4432;25:3857 | fs=14.5 | Inter | DOME · Brand Launch & Refresh
I25:4432;25:3859 | fs=24 | Cormorant Gara | 0→1 Launch + Multi-Brand Refresh for a / Restaurant Group
I25:4432;25:3861 | fs=14.5 | Inter | New brand go-to-market, repositioning of three established / brands, a 50+ creator program, and a direct booki
I25:4432;25:3865 | fs=24 | Cormorant Gara | 40K→90K
I25:4432;25:3866 | fs=10.5 | Inter | Highest Monthly Exposure
I25:4432;25:3869 | fs=24 | Cormorant Gara | 700K+
I25:4432;25:3870 | fs=10.5 | Inter | Exposure
I25:4432;25:3873 | fs=24 | Cormorant Gara | +35%
I25:4432;25:3874 | fs=10.5 | Inter | Foot Traffic
I25:4432;25:3877 | fs=24 | Cormorant Gara | 1.43
I25:4432;25:3878 | fs=10.5 | Inter | NYE Creator ROI
I25:4456;25:3825 | fs=14.5 | Inter | AI Workflow · Production
I25:4456;25:3827 | fs=24 | Cormorant Gara | AI-Assisted Content Production, Without / Losing Taste
I25:4456;25:3829 | fs=14.5 | Inter | Prompt engineering + visual QA — cut Reel costs to ¥31–39 and / statics to under ¥1.
25:4466 | fs=12 | Inter | Case Studies
25:4468 | fs=56 |  | The stories behind the numbers
I25:4470;25:3917 | fs=14 | Inter | MuseKey · Social & Content & Paid Media
I25:4470;25:3919 | fs=22 | Cormorant Gara | 0→1 Social Media & Content Operations for a Kids' / Hardware U.S. Launch
I25:4470;25:3921 | fs=14 | Inter | Owned Instagram end-to-end — content pillars, posting system and / creator outreach — with Meta paid experimen
I25:4470;25:3923 | fs=13 | Inter | View Case
I25:4470;25:3925 | fs=13 | Inter | →
I25:4485;25:3948 | fs=14 | Inter | DOME · Brand Launch & Refresh
I25:4485;25:3950 | fs=22 | Cormorant Gara | From "Can I Take Photos?" to "How Do I Book?"
I25:4485;25:3952 | fs=14 | Inter | New brand go-to-market, multi-brand repositioning, and a direct / booking fix that turned content into foot tr
I25:4485;25:3954 | fs=13 | Inter | View Case
I25:4485;25:3956 | fs=13 | Inter | →
I25:4500;25:3981 | fs=14 | Inter | TopJob · Creator Marketing
I25:4500;25:3983 | fs=22 | Cormorant Gara | Creator-Led Growth for a High-Consideration DTC Product
I25:4500;25:3985 | fs=14 | Inter | Recruiting, briefing and iterating a 50-creator matrix through peak / season.
I25:4500;25:3988 | fs=13 | Inter | View Case
I25:4500;25:3990 | fs=13 | Inter | →
I25:4516;25:4013 | fs=14 | Inter | AI Workflow · Production
I25:4516;25:4015 | fs=22 | Cormorant Gara | AI-Assisted Content Production, Without Losing / Taste
I25:4516;25:4017 | fs=14 | Inter | Prompt engineering + visual QA — how I cut asset costs by ~10x while / protecting brand standards.
I25:4516;25:4019 | fs=13 | Inter | View Case
I25:4516;25:4021 | fs=13 | Inter | →
25:4534 | fs=12 | Inter | Contact
25:4536 | fs=72 |  | Make good content / seen — and measured
25:4538 | fs=16 | Inter | Open to Social Media Marketing opportunities, and always / happy to talk overseas content marketing and creato
I25:4540;25:3882 | fs=14.5 | Inter | Email Me
25:4546 | fs=15 | Inter | +86 137 1445 2571
25:4548 | fs=12 | Inter | JENNY WU · PLAY · CREATE · KEEP
25:4552 | fs=17 | Inter | JENNY·WU
I25:4556;25:3469 | fs=13.5 | Inter | About
I25:4561;25:3469 | fs=13.5 | Inter | Experience
I25:4566;25:3469 | fs=13.5 | Inter | Work
I25:4571;25:3469 | fs=13.5 | Inter | Cases
I25:4581;25:3473 | fs=13.5 | Inter | Say Hello
I25:4583;25:3890 | fs=18 | Arial | ↑
